
=====> VARIATIONAL MONTE-CARLO PROGRAM FOR PEPS <=====
System size (lx, ly):                   (4, 4)
PEPS bond dimension:                    1/8
BMPS bond dimension:                    8/16
BMPS Truncate Scheme:                   0
Sampling numbers:                       100
Monte Carlo sweep repeat times:         2
PEPS update times:                      100
PEPS update strategy:                   2
Conjugate gradient diagonal shift:      0.001
=====> TECHNICAL PARAMETERS <=====
The number of processors (including master):64
The number of threads per processor:    1
Proc   33 warm up completes T = 5.99636s.
Proc   23 warm up completes T = 5.98821s.
Proc   22 warm up completes T = 5.97331s.
Proc   16 warm up completes T = 6.01161s.
Proc   11 warm up completes T = 6.00004s.
Proc   38 warm up completes T = 6.02357s.
Proc   32 warm up completes T = 6.02995s.
Proc   34 warm up completes T = 6.00593s.
Proc   15 warm up completes T = 6.06415s.
Proc   39 warm up completes T = 6.00313s.
Proc   18 warm up completes T = 6.03127s.
Proc   53 warm up completes T = 6.07097s.
Proc   36 warm up completes T = 6.03086s.
Proc   19 warm up completes T = 6.03987s.
Proc   26 warm up completes T = 6.01467s.
Proc   35 warm up completes T = 6.02454s.
Proc   37 warm up completes T = 6.02354s.
Proc   14 warm up completes T = 6.0456s.
Proc   55 warm up completes T = 6.08082s.
Proc   28 warm up completes T = 6.03513s.
Proc   20 warm up completes T = 6.06843s.
Proc   10 warm up completes T = 6.06151s.
Proc   29 warm up completes T = 6.05035s.
Proc   30 warm up completes T = 6.08207s.
Proc   54 warm up completes T = 6.11461s.
Proc   31 warm up completes T = 6.08798s.
Proc   21 warm up completes T = 6.0814s.
Proc   24 warm up completes T = 6.08927s.
Proc    3 warm up completes T = 6.11933s.
Proc   63 warm up completes T = 6.1505s.
Proc   47 warm up completes T = 6.11261s.
Proc   50 warm up completes T = 6.15009s.
Proc   27 warm up completes T = 6.12158s.
Proc   59 warm up completes T = 6.14558s.
Proc    7 warm up completes T = 6.12605s.
Proc   12 warm up completes T = 6.179s.
Proc   56 warm up completes T = 6.18479s.
Proc   58 warm up completes T = 6.14422s.
Proc   51 warm up completes T = 6.14081s.
Proc   13 warm up completes T = 6.14123s.
Proc Proc   49 warm up completes T = 6.14375s.
   5 warm up completes T = 6.13936s.
Proc Proc   17 warm up completes T =   46 warm up completes T = 6.20264s.
6.1372s.
Proc   45 warm up completes T = 6.19014s.
Proc   57 warm up completes T = 6.14545s.
Proc    2 warm up completes T = 6.15491s.
Proc   60 warm up completes T = 6.18721s.
Proc    1 warm up completes T = 6.17041s.
Proc   61 warm up completes T = 6.20435s.
Proc   52 warm up completes T = 6.20651s.
Proc 0    warm up completes T = 6.1759s.
Proc    6 warm up completes T = 6.21048s.
Proc    4 warm up completes T = 6.20542s.
Proc   48 warm up completes T = 6.20264s.
Proc   62 warm up completes T = 6.21869s.
Proc   44 warm up completes T = 6.25055s.
Proc   43 warm up completes T = 6.27031s.
Proc   25 warm up completes T = 6.36497s.
Proc    8 warm up completes T = 6.38019s.
Proc    9 warm up completes T = 6.40736s.
Proc   42 warm up completes T = 6.50638s.
Proc   41 warm up completes T = 6.52535s.
Proc   40 warm up completes T = 6.5486s.
Iter 0   Alpha = 1.0e-01  E0 = -8.90613294   ± 5.84e-03  Grad norm = 6.1e-02  Accept rate = [0.08 ]SRSolver Iter = 4   NGrad norm = 4.4e-01  TPS UpdateT = 1.11  s TotT = 5.82    s
Iter 1   Alpha = 1.0e-01  E0 = -8.93745245   ± 2.77e-03  Grad norm = 1.8e-02  Accept rate = [0.09 ]SRSolver Iter = 4   NGrad norm = 1.4e-01  TPS UpdateT = 1.39  s TotT = 5.51    s
Iter 2   Alpha = 1.0e-01  E0 = -8.94015425   ± 1.44e-03  Grad norm = 5.2e-03  Accept rate = [0.10 ]SRSolver Iter = 4   NGrad norm = 4.4e-02  TPS UpdateT = 1.18  s TotT = 6.07    s
Iter 3   Alpha = 1.0e-01  E0 = -8.94309281   ± 8.14e-04  Grad norm = 1.8e-03  Accept rate = [0.10 ]SRSolver Iter = 5   NGrad norm = 1.4e-02  TPS UpdateT = 1.37  s TotT = 5.80    s
Iter 4   Alpha = 1.0e-01  E0 = -8.94412913   ± 4.92e-04  Grad norm = 5.6e-04  Accept rate = [0.10 ]SRSolver Iter = 4   NGrad norm = 4.5e-03  TPS UpdateT = 1.16  s TotT = 4.81    s
Iter 5   Alpha = 1.0e-01  E0 = -8.94454621   ± 2.62e-04  Grad norm = 1.7e-04  Accept rate = [0.10 ]SRSolver Iter = 5   NGrad norm = 1.6e-03  TPS UpdateT = 1.33  s TotT = 4.97    s
Iter 6   Alpha = 1.0e-01  E0 = -8.94451717   ± 1.49e-04  Grad norm = 5.4e-05  Accept rate = [0.10 ]SRSolver Iter = 5   NGrad norm = 6.6e-04  TPS UpdateT = 2.26  s TotT = 6.13    s
Iter 7   Alpha = 1.0e-01  E0 = -8.94454068   ± 9.05e-05  Grad norm = 1.7e-05  Accept rate = [0.09 ]SRSolver Iter = 9   NGrad norm = 1.2e-04  TPS UpdateT = 3.08  s TotT = 7.30    s
Iter 8   Alpha = 1.0e-01  E0 = -8.94434210   ± 4.18e-05  Grad norm = 4.3e-06  Accept rate = [0.10 ]SRSolver Iter = 5   NGrad norm = 3.8e-05  TPS UpdateT = 1.45  s TotT = 7.24    s
Iter 9   Alpha = 1.0e-01  E0 = -8.94440848   ± 2.26e-05  Grad norm = 1.5e-06  Accept rate = [0.11 ]SRSolver Iter = 5   NGrad norm = 1.2e-05  TPS UpdateT = 1.40  s TotT = 5.84    s
Iter 10  Alpha = 1.0e-01  E0 = -8.94438223   ± 1.46e-05  Grad norm = 4.4e-07  Accept rate = [0.10 ]SRSolver Iter = 4   NGrad norm = 3.6e-06  TPS UpdateT = 1.10  s TotT = 5.18    s
Iter 11  Alpha = 1.0e-01  E0 = -8.94440323   ± 7.41e-06  Grad norm = 1.5e-07  Accept rate = [0.11 ]SRSolver Iter = 5   NGrad norm = 1.1e-06  TPS UpdateT = 1.44  s TotT = 5.63    s
Iter 12  Alpha = 1.0e-01  E0 = -8.94440020   ± 4.05e-06  Grad norm = 4.3e-08  Accept rate = [0.10 ]SRSolver Iter = 4   NGrad norm = 3.4e-07  TPS UpdateT = 1.15  s TotT = 4.78    s
Iter 13  Alpha = 1.0e-01  E0 = -8.94439925   ± 2.53e-06  Grad norm = 1.4e-08  Accept rate = [0.10 ]SRSolver Iter = 5   NGrad norm = 1.0e-07  TPS UpdateT = 1.39  s TotT = 5.02    s
Iter 14  Alpha = 1.0e-01  E0 = -8.94439824   ± 1.16e-06  Grad norm = 3.8e-09  Accept rate = [0.10 ]SRSolver Iter = 5   NGrad norm = 3.2e-08  TPS UpdateT = 1.44  s TotT = 5.12    s
